run_id,disturbance_type,level,seed,duration,payload_factor,payload_start,payload_ramp,wind_mode,wind_peak,wind_start,wind_ramp,p_gain_mult_start,p_gain_mult_end,gain_start,gain_ramp,output
payload_weak_s42,payload,weak,42,15.0,1.8,2.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,data/raw/pilot/payload_weak_s42.csv
payload_weak_s7,payload,weak,7,15.0,1.8,2.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,data/raw/pilot/payload_weak_s7.csv
payload_weak_s123,payload,weak,123,15.0,1.8,2.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,data/raw/pilot/payload_weak_s123.csv
payload_medium_s42,payload,medium,42,15.0,2.5,2.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,data/raw/pilot/payload_medium_s42.csv
payload_medium_s7,payload,medium,7,15.0,2.5,2.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,data/raw/pilot/payload_medium_s7.csv
payload_medium_s123,payload,medium,123,15.0,2.5,2.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,data/raw/pilot/payload_medium_s123.csv
payload_strong_s42,payload,strong,42,15.0,3.2,2.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,data/raw/pilot/payload_strong_s42.csv
payload_strong_s7,payload,strong,7,15.0,3.2,2.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,data/raw/pilot/payload_strong_s7.csv
payload_strong_s123,payload,strong,123,15.0,3.2,2.0,4.0,none,0.0,0.0,0.0,1.0,1.0,0.0,0.0,data/raw/pilot/payload_strong_s123.csv
wind_weak_s42,wind,weak,42,30.0,1.0,0.0,0.0,turbulent_ramp,0.03,2.0,12.0,1.0,1.0,0.0,0.0,data/raw/pilot/wind_weak_s42.csv
wind_weak_s7,wind,weak,7,30.0,1.0,0.0,0.0,turbulent_ramp,0.03,2.0,12.0,1.0,1.0,0.0,0.0,data/raw/pilot/wind_weak_s7.csv
wind_weak_s123,wind,weak,123,30.0,1.0,0.0,0.0,turbulent_ramp,0.03,2.0,12.0,1.0,1.0,0.0,0.0,data/raw/pilot/wind_weak_s123.csv
wind_medium_s42,wind,medium,42,30.0,1.0,0.0,0.0,turbulent_ramp,0.06,2.0,12.0,1.0,1.0,0.0,0.0,data/raw/pilot/wind_medium_s42.csv
wind_medium_s7,wind,medium,7,30.0,1.0,0.0,0.0,turbulent_ramp,0.06,2.0,12.0,1.0,1.0,0.0,0.0,data/raw/pilot/wind_medium_s7.csv
wind_medium_s123,wind,medium,123,30.0,1.0,0.0,0.0,turbulent_ramp,0.06,2.0,12.0,1.0,1.0,0.0,0.0,data/raw/pilot/wind_medium_s123.csv
wind_strong_s42,wind,strong,42,30.0,1.0,0.0,0.0,turbulent_ramp,0.12,2.0,12.0,1.0,1.0,0.0,0.0,data/raw/pilot/wind_strong_s42.csv
wind_strong_s7,wind,strong,7,30.0,1.0,0.0,0.0,turbulent_ramp,0.12,2.0,12.0,1.0,1.0,0.0,0.0,data/raw/pilot/wind_strong_s7.csv
wind_strong_s123,wind,strong,123,30.0,1.0,0.0,0.0,turbulent_ramp,0.12,2.0,12.0,1.0,1.0,0.0,0.0,data/raw/pilot/wind_strong_s123.csv
