실험,features,pr_auc,f1,n_pos,n_neg,pr_auc_drop
Baseline (R1~R6 전체),All,0.996987612910204,0.9893048128342246,1890,2124,0.0
A: -R1(alt),All-R1(alt),0.8431833381586578,0.7142857142857143,1890,2124,0.15380427475154623
A: -R2(tilt),All-R2(tilt),0.9970086808615102,0.9893048128342246,1890,2124,-2.1067951306186217e-05
A: -R3(ang),All-R3(ang),0.996749844167494,0.9893048128342246,1890,2124,0.00023776874270997617
A: -R4(vib),All-R4(vib),0.9969524146563855,0.9893048128342246,1890,2124,3.5198253818480296e-05
A: -R5(crash),All-R5(crash),0.9969201533052058,0.9893048128342246,1890,2124,6.745960499821013e-05
A: -R6(conv),All-R6(conv),0.9969329559113329,0.9893048128342246,1890,2124,5.465699887108322e-05
B: R1(alt)만,R1(alt),0.9972756982561144,0.9893048128342246,1890,2124,-0.0002880853459104049
B: R2(tilt)만,R2(tilt),0.7731940952951778,0.6128440366972477,1890,2124,0.2237935176150262
B: R3(ang)만,R3(ang),0.8166460798219639,0.6829268292682927,1890,2124,0.18034153308824008
B: R4(vib)만,R4(vib),0.816613842330457,0.6829268292682927,1890,2124,0.18037377057974702
B: R5(crash)만,R5(crash),0.4934411277660654,0.6372180451127819,1890,2124,0.5035464851441386
B: R6(conv)만,R6(conv),0.5807355588283423,0.3087248322147651,1890,2124,0.4162520540818617
C: 위치 그룹 (R1+R6),"['alt_rmse', 'conv_fail']",0.9972756982561144,0.9893048128342246,1890,2124,-0.0002880853459104049
C: 자세 그룹 (R2+R3+R4),"['tilt_max', 'ang_rate_rms', 'vib_ratio']",0.8167640408630741,0.6829268292682927,1890,2124,0.1802235720471299
C: 이벤트 그룹 (R5),['crash'],0.4934411277660654,0.6372180451127819,1890,2124,0.5035464851441386
C: 위치+자세 (R1~R4+R6),"['alt_rmse', 'tilt_max', 'ang_rate_rms', 'vib_ratio', 'conv_fail']",0.9969201533052058,0.9893048128342246,1890,2124,6.745960499821013e-05
D: S1,All,0.996529894489177,0.9865951742627346,945,1062,0.0004577184210270424
D: S2,All,0.995898850446877,0.9865951742627346,945,1062,0.0010887624633270088
D: S1+S2(전체),All,0.996987612910204,0.9893048128342246,1890,2124,0.0
